NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
1;G;F.1000;500/d;coin;coin;bronze;moult;;complete;1;;;;0.35;1.7;;4;Bronze coin, recto and verso illegible.;
2;G;F.1000;500/e;coin;coin;bronze;moult;;complete;1;;;;0.4;1.8;;;"Bronze coin. Recto: head; verso: illegible.";
3;G;F.1000;500/a;coin;coin;bronze;moult;;complete;1;;;;0.2;2;;4;Bronze coin. Recto: illegible. Verso: illegible figure and inscription.;
4;Acropoli;F.1000;;Stone vessel;tripod;basalt;hand;;fragmentary;1;8.6;;;;16;;;"Tripod of fine grained basalt with vertical pointed leg; rim 2.4 cm, wall 2,5 cm, bottom 2,7 cm. Mortar used.";
5;C;F.900;400/c;stone vessel;tripod;basalt;hand;;fragmentary;1;7.1;;;;24;;;Tripod of fine grain basalt. Base: 3.5 Wall: 2.4 Rim: 1.6;
6;C;F.900;400/a;clay figurine;Animal figurine;clay;hand;;fragmentary;1;4.1+;5.1+;4.9+;;;;;Body fragment of an animal clay figurine.;
7;surface;Lower Palace Area;1004/d;clay figurine;Animal figurine;clay;hand;incised;fragmentary;1;7.9+;8.7+;5.6+;;;;;Body fragment of an horse clay figurine with harness.;
8;B;F.801;301/a;clay figurine;clay figurine;clay;hand;;fragmentary;1;4.9+;9.4+;4.4+;;;;;Body of an  animal clay figurine with harness;
9;B;F.801;301/b;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4.7+;;4.2;2.8;;;;Horse head with harness.;
10;C;F.900;401/a;textile tool;loom weight;pottery;hand;;fragmentary;1;;6.5+;4.1+;2.2;;0.9;;Fragment of a discoidal loom weight.;
11;G;F.1000;500/c;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.5;6;;;Fragment of dark twisted glass bracelet, with circular section.;
12;G;F.1000;500/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.6;7;;;Fragment of a glass twisted bracelet, with circular section.;
13;G;F.1002;502/d;metal ornament;ring;bronze;hand;;complete;1;2.3;;1.9;0.1;1.8;1.5;;Bronze ring, with a glass paste bead set in a circular mounting (diameter 1.2).;
14;B;F.801;303/a;coin;coin;bronze;moult;;complete;1;;;;0.2;1.8;;3;Bronze coin. Recto: illegible. Verso: greek inscription?.;
15;C;F.905;406/a;other;indeterminate;iron;hand;;fragmentary;1;;2.4+;;0.6;;;;Iron fragment, with a square section.;
16;G;F.1002;502/a;metal ornament;pin;iron;hand;;complete;1;;12;;0.4;;;;Iron pin.;
17;G;F.1002;502/c;coin;coin;bronze;moult;;complete;1;;;;0.45;2.4;;10;Bronze coin. Recto: head, greek? inscriptio. Verso: illegible.;
18;C;F.907;408/a;stone vessel;stone vessel;basalt;hand;;fragmentary;1;6.5;;;;14;;;Stone vessel of fine grained basalt, high foot, ring bottom, mortar used. Bottom: 6.6 cm;
19;surface;Lower Palace Area;1/c;stone vessel;basin;basalt;hand;;fragmentary;1;12.9+;11.8+;11.7+;;;;;"Basin of medium grained basalt, two legs preserved with rectangular section. Wall:3.5 cm; bottom: 5.9 cm.";
20;B;F.804;304/b;clay figurine;clay figurine;clay;hand;;fragmentary;1;5+;6.9+;3.9+;;;;;Body of a clay horse figurine.;
